Authors,Vol.c,Vol.sub,Ee,Ne,Ec,Nc,TE,TE.lower,TE.upper,seTE,Bias
Bruce et al. 2005,3.37,(2) 32.2 to 48km,172,492,153,374,0.77,0.59,1.02,0.11,7
Chakravarty et al. 2008,NA,,9,45,17,53,0.52,0.21,1.34,0.29,8
Cloosterman et al. 2020,8,(1) 8 to 32.1km,10,86,2,22,1.31,0.22,6.49,1.59,7
Emran et al. 2020 (1),8,(1) 8 to 32.1km,25,57,7,21,1.56,0.55,4.45,0.99,3
Emran et al. 2020 (2),8,(2) 32.2 to 48km,55,96,7,21,2.68,0.99,7.24,1.59,3
Fries et al. 1994,3.16,(2) 32.2 to 48km,14,451,27,330,0.36,0.19,0.7,0.17,7
Hootman et al. 2003 (1),8,(1) 8 to 32.1km,NA,NA,NA,NA,0.83,0.52,1.31,0.2,7
Hootman et al. 2003 (2),8,(2) 32.2 to 48km,NA,NA,NA,NA,1,0.49,2.05,0.4,7
Hootman et al. 2003 (3),8,(3) > 48km,NA,NA,NA,NA,0.67,0.14,3.12,0.76,7
Hootman et al. 2003 (4),8,(3) > 48km,NA,NA,NA,NA,1.16,0.3,4.43,1.05,7
Kettunen et al. 2001,NA,,5,71,59,460,0.51,0.19,1.33,0.29,5
Kettunen et al. 1999,NA,,4,28,1,29,4.67,0.49,44.63,11.26,4
Konradsen et al. 1990,0,(3) > 48km,8,27,7,27,1.2,0.36,3.97,0.92,6
Spector et al. 1996,0,(1) 8 to 32.1km,15,67,145,977,1.65,0.91,3.02,0.54,6
Wang et al. 2002,3.84,(2) 32.2 to 48km,NA,NA,NA,NA,NA,NA,NA,NA,5
Ward et al. 1995,0,(2) 32.2 to 48km,122,454,137,291,0.41,0.3,0.56,0.07,4
Panush et al. 1992,0,(2) 32.2 to 48km,1,17,3,18,0.31,0.03,3.34,0.84,7
Ponzio et al. 2018,0,(3) > 48km,38,430,1711,9562,0.44,0.32,0.62,0.08,3
